lmax,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,slc_mean,slc_std,ssh_mean,ssh_std,variance_ratio,mean_errors,standardized_errors,w2_distances,kl_divergences
84,636800.0,0.501,200.0,-50843.428600339226,0.0008942069196312075,35458.81392108931,0.0003596193080868739,0.1617372109564066,86302.24252142853,89542683.26220092,86302.24252142853,2.8795734701029424e+16
84,636800.0,0.7505,-200.0,50843.428600339226,0.0013395255352958014,-35458.81392108931,0.0005387111591201453,0.16173721095641122,-86302.24252142853,-59774662.64405626,86302.24252142853,1.2832232574585476e+16
84,636800.0,0.7505,-66.66666666666666,16947.80953344676,0.001339525535295612,-11819.604640363172,0.0005387111591200564,0.16173721095640362,-28767.414173809935,-19924887.54802193,28767.414173809946,1425803619398900.2
84,636800.0,0.7505,66.66666666666669,-16947.809533446703,0.0013395255352958014,11819.604640362997,0.0005387111591201453,0.16173721095641122,28767.414173809702,19924887.548018884,28767.414173809713,1425803619398406.5
84,636800.0,0.7505,200.0,-50843.42860033934,0.001339525535295612,35458.81392108931,0.0005387111591200564,0.16173721095640362,86302.24252142865,59774662.64406499,86302.24252142866,1.2832232574589748e+16
84,636800.0,1.0,-200.0,50843.42860033934,0.0017848441509601858,-35458.81392108931,0.0007178030101533119,0.16173721095640425,-86302.24252142865,-44860884.31437051,86302.24252142866,7227758205695708.0
84,636800.0,1.0,-66.66666666666666,16947.80953344676,0.001784844150960444,-11819.604640363143,0.000717803010153443,0.16173721095641658,-28767.414173809906,-14953628.104788113,28767.414173809928,803084245077028.9
84,636800.0,1.0,66.66666666666669,-16947.809533446703,0.001784844150960444,11819.604640362997,0.000717803010153443,0.16173721095641658,28767.414173809702,14953628.104788007,28767.414173809724,803084245077017.4
84,636800.0,1.0,200.0,-50843.428600339226,0.001784844150960444,35458.81392108931,0.000717803010153443,0.16173721095641658,86302.24252142853,44860884.314363725,86302.24252142853,7227758205693046.0
84,955200.0000000001,0.002,-200.0,50843.428600339226,3.5696883019208914e-06,-35458.81392108931,1.435606020306874e-06,0.16173721095641355,-86302.24252142853,-22430442157.18187,86302.24252142853,1.8069395514232917e+21
