,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
348,65.0,0.62,0.0,0.38,1.969188170560948
349,67.5,0.62,0.0,0.38,2.358058746313771
350,70.0,0.62,0.0,0.38,2.633954953305869
351,50.0,0.61,0.0,0.39,0.15135378201776414
352,52.5,0.61,0.0,0.39,0.3180898971249717
353,55.0,0.61,0.0,0.39,0.5605761630016315
354,57.5,0.61,0.0,0.39,0.8360927406043108
355,60.0,0.61,0.0,0.39,1.163232571773386
356,62.5,0.61,0.0,0.39,1.5270978172941116
357,65.0,0.61,0.0,0.39,1.9334486593004399
358,67.5,0.61,0.0,0.39,2.322235570197658
359,70.0,0.61,0.0,0.39,2.5976406186293963
360,50.0,0.6,0.0,0.4,0.12172564559392747
361,52.5,0.6,0.0,0.4,0.28747988965602045
362,55.0,0.6,0.0,0.4,0.5290493309715162
363,57.5,0.6,0.0,0.4,0.8038129401951668
364,60.0,0.6,0.0,0.4,1.1301338829852914
365,62.5,0.6,0.0,0.4,1.493110970843318
366,65.0,0.6,0.0,0.4,1.8989979962806938
367,67.5,0.6,0.0,0.4,2.2877042594676413
368,70.0,0.6,0.0,0.4,2.5626358616364358
369,50.0,0.59,0.0,0.41000000000000003,0.0931470430125155
370,52.5,0.59,0.0,0.41000000000000003,0.2579541973898887
371,55.0,0.59,0.0,0.41000000000000003,0.49863929132718604
372,57.5,0.59,0.0,0.41000000000000003,0.7726766049863529
373,60.0,0.59,0.0,0.41000000000000003,1.09820766733314
374,62.5,0.59,0.0,0.41000000000000003,1.4603280592279388
375,65.0,0.59,0.0,0.41000000000000003,1.8657676981267715
376,67.5,0.59,0.0,0.41000000000000003,2.254396170431952
377,70.0,0.59,0.0,0.41000000000000003,2.5288710974861037
378,50.0,0.5800000000000001,0.0,0.42,0.06556317749628751
379,52.5,0.5800000000000001,0.0,0.42,0.22945620759410287
380,55.0,0.5800000000000001,0.0,0.42,0.4692877356832639
381,57.5,0.5800000000000001,0.0,0.42,0.7426240339896067
382,60.0,0.5800000000000001,0.0,0.42,1.0673927093069406
383,62.5,0.5800000000000001,0.0,0.42,1.4286862243043568
384,65.0,0.5800000000000001,0.0,0.42,1.8336940488736715
385,67.5,0.5800000000000001,0.0,0.42,2.2222474379686337
386,70.0,0.5800000000000001,0.0,0.42,2.4962815854251845
387,50.0,0.5700000000000001,0.0,0.43,0.03892300164472644
388,52.5,0.5700000000000001,0.0,0.43,0.2019331811665161
389,55.0,0.5700000000000001,0.0,0.43,0.44094034530711484
390,57.5,0.5700000000000001,0.0,0.43,0.7135996111553616
391,60.0,0.5700000000000001,0.0,0.43,1.0376319819645772
392,62.5,0.5700000000000001,0.0,0.43,1.3981269088909358
393,65.0,0.5700000000000001,0.0,0.43,1.802717692213167
394,67.5,0.5700000000000001,0.0,0.43,2.191198566818786
395,70.0,0.5700000000000001,0.0,0.43,2.464807014476857
396,50.0,0.56,0.0,0.44,0.013178902146298455
397,52.5,0.56,0.0,0.44,0.1753359268993352
398,55.0,0.56,0.0,0.44,0.4135464556260067
399,57.5,0.56,0.0,0.44,0.6855514618679366
400,60.0,0.56,0.0,0.44,1.0088722947118751
401,62.5,0.56,0.0,0.44,1.3685954950973584
402,65.0,0.56,0.0,0.44,1.7727832648876853
403,67.5,0.56,0.0,0.44,2.1611940641215357
404,70.0,0.56,0.0,0.44,2.4343911309377817
405,50.0,0.55,0.0,0.45,0.011713584219859697
406,52.5,0.55,0.0,0.45,0.14961850806843083
407,55.0,0.55,0.0,0.45,0.3870587540286467
408,57.5,0.55,0.0,0.45,0.6584311435294093
409,60.0,0.55,0.0,0.45,0.9810639760376945
410,62.5,0.55,0.0,0.45,1.340040978545783
411,65.0,0.55,0.0,0.45,1.7438390664656849
412,67.5,0.55,0.0,0.45,2.1321821084163632
413,70.0,0.55,0.0,0.45,2.404981402842199
414,50.0,0.54,0.0,0.46,0.035796026857561634
415,52.5,0.54,0.0,0.46,0.12473797766764277
416,55.0,0.54,0.0,0.46,0.3614330071692787
417,57.5,0.54,0.0,0.46,0.6321933663506398
418,60.0,0.54,0.0,0.46,0.9541605872210954
419,62.5,0.54,0.0,0.46,1.3124156743964401
420,65.0,0.54,0.0,0.46,1.7158367613548924
421,67.5,0.54,0.0,0.46,2.104114250959415
422,70.0,0.54,0.0,0.46,2.3765287171830005
423,50.0,0.53,0.0,0.47000000000000003,0.059107333008311926
424,52.5,0.53,0.0,0.47000000000000003,0.10065413907653205
425,55.0,0.53,0.0,0.47000000000000003,0.3366278144665606
426,57.5,0.53,0.0,0.47000000000000003,0.6067957409629999
427,60.0,0.53,0.0,0.47000000000000003,0.9281186635411461
428,62.5,0.53,0.0,0.47000000000000003,1.285674951612584
429,65.0,0.53,0.0,0.47000000000000003,1.6887311094413924
430,67.5,0.53,0.0,0.47000000000000003,2.0769451457312806
431,70.0,0.53,0.0,0.47000000000000003,2.3489871062181953
432,50.0,0.52,0.0,0.48,0.08168395750397854
433,52.5,0.52,0.0,0.48,0.07732932935682245
434,55.0,0.52,0.0,0.48,0.3126043849096262
435,57.5,0.52,0.0,0.48,0.5821985498941324
436,60.0,0.52,0.0,0.48,0.9028974799547409
437,62.5,0.52,0.0,0.48,1.259776992350697
438,65.0,0.52,0.0,0.48,1.6624797221959244
439,67.5,0.52,0.0,0.48,2.0506323049726163
440,70.0,0.52,0.0,0.48,2.32231349965415
441,50.0,0.51,0.0,0.49,0.10356009299499438
442,52.5,0.51,0.0,0.49,0.05472822271968722
443,55.0,0.51,0.0,0.49,0.2893263346392298
444,57.5,0.51,0.0,0.49,0.5583645403136169
445,60.0,0.51,0.0,0.49,0.8784588385853178
446,62.5,0.51,0.0,0.49,1.2346825737468934
447,65.0,0.51,0.0,0.49,1.6370428414822995
448,67.5,0.51,0.0,0.49,2.025135877475213
449,70.0,0.51,0.0,0.49,2.296467499897046
450,50.0,0.5,0.0,0.5,0.12476784274293944
451,52.5,0.5,0.0,0.5,0.03281765200752493
452,55.0,0.5,0.0,0.5,0.2667595030817428
453,57.5,0.5,0.0,0.5,0.5352587357770614
454,60.0,0.5,0.0,0.5,0.8547668756903625
455,62.5,0.5,0.0,0.5,1.2103548697044026
456,65.0,0.5,0.0,0.5,1.6123831386403489
457,67.5,0.5,0.0,0.5,2.000418447193547
458,70.0,0.5,0.0,0.5,2.2714111779037744
459,50.0,0.49,0.0,0.51,0.14533737781232126
460,52.5,0.49,0.0,0.51,0.011566446292073833
461,55.0,0.49,0.0,0.51,0.2448717856839503
462,57.5,0.49,0.0,0.51,0.5128482649647236
463,60.0,0.49,0.0,0.51,0.8317878860556639
464,62.5,0.49,0.0,0.51,1.186759270576439
465,65.0,0.49,0.0,0.51,1.5884655317071492
466,67.5,0.49,0.0,0.51,1.9764448500394374
467,70.0,0.49,0.0,0.51,2.2471088874638623
468,50.0,0.48,0.0,0.52,0.16529708028234832
469,52.5,0.48,0.0,0.52,0.009054717082723521
470,55.0,0.48,0.0,0.52,0.2236329815235359
471,57.5,0.48,0.0,0.52,0.4911022056532368
472,60.0,0.48,0.0,0.52,0.8094901630092073
473,62.5,0.48,0.0,0.52,1.1638632188859594
474,65.0,0.48,0.0,0.52,1.5652570188957236
475,67.5,0.48,0.0,0.52,1.9531820069698067
476,70.0,0.48,0.0,0.52,2.223527095999576
477,50.0,0.47,0.0,0.53,0.18467367390689032
478,52.5,0.47,0.0,0.53,0.029073447491155546
479,55.0,0.47,0.0,0.53,0.20301465427608253
480,57.5,0.47,0.0,0.53,0.4699914423616993
481,60.0,0.47,0.0,0.53,0.7878438524556457
482,62.5,0.47,0.0,0.53,1.141636059444082
483,65.0,0.47,0.0,0.53,1.5427265266675418
484,67.5,0.47,0.0,0.53,1.9305987717042858
485,70.0,0.47,0.0,0.53,2.2006342301953215
486,50.0,0.45999999999999996,0.0,0.54,0.20349234348764467
487,52.5,0.45999999999999996,0.0,0.54,0.04851576435451231
488,55.0,0.45999999999999996,0.0,0.54,0.1829900051920571
489,57.5,0.45999999999999996,0.0,0.54,0.4494885362948408
490,60.0,0.45999999999999996,0.0,0.54,0.7668208195200626
491,62.5,0.45999999999999996,0.0,0.54,1.120048902415455
