,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
188,90.0,0.8,0.0,0.2,4.877274930619931
189,10.0,0.79,0.0,0.21,0.3574172246413926
190,20.0,0.79,0.0,0.21,0.13890573910539747
191,30.0,0.79,0.0,0.21,0.055329142184709273
192,40.0,0.79,0.0,0.21,0.39610087187797893
193,50.0,0.79,0.0,0.21,0.96257934541615
194,60.0,0.79,0.0,0.21,2.069482700900501
195,70.0,0.79,0.0,0.21,3.5560793576428154
196,80.0,0.79,0.0,0.21,4.4501371550650175
197,90.0,0.79,0.0,0.21,4.787007509259688
198,10.0,0.78,0.0,0.22,0.4045536220596509
199,20.0,0.78,0.0,0.22,0.18493504615793108
200,30.0,0.78,0.0,0.22,0.00856979175690265
201,40.0,0.78,0.0,0.22,0.3408325021250549
202,50.0,0.78,0.0,0.22,0.8970583641268588
203,60.0,0.78,0.0,0.22,1.9962867854448985
204,70.0,0.78,0.0,0.22,3.478668278013219
205,80.0,0.78,0.0,0.22,4.368211223200157
206,90.0,0.78,0.0,0.22,4.701559541070476
207,10.0,0.77,0.0,0.23,0.44923880399441174
208,20.0,0.77,0.0,0.23,0.2285707093105795
209,30.0,0.77,0.0,0.23,0.03575795061346751
210,40.0,0.77,0.0,0.23,0.28843823160559834
211,50.0,0.77,0.0,0.23,0.8349446445848403
212,60.0,0.77,0.0,0.23,1.9268972483108215
213,70.0,0.77,0.0,0.23,3.40528277622511
214,80.0,0.77,0.0,0.23,4.290545653256998
215,90.0,0.77,0.0,0.23,4.620555089868671
216,10.0,0.76,0.0,0.24,0.49165912926175537
217,20.0,0.76,0.0,0.24,0.2699947103785589
218,30.0,0.76,0.0,0.24,0.07783895304637564
219,40.0,0.76,0.0,0.24,0.23869955087626943
220,50.0,0.76,0.0,0.24,0.7759791425447289
221,60.0,0.76,0.0,0.24,1.8610247015754735
222,70.0,0.76,0.0,0.24,3.3356167992509658
223,80.0,0.76,0.0,0.24,4.216816542253899
224,90.0,0.76,0.0,0.24,4.543656327923493
225,10.0,0.75,0.0,0.25,0.5319825324949745
226,20.0,0.75,0.0,0.25,0.30937103972244867
227,30.0,0.75,0.0,0.25,0.11783980685570475
228,40.0,0.75,0.0,0.25,0.19141955321719767
229,50.0,0.75,0.0,0.25,0.7199284239179254
230,60.0,0.75,0.0,0.25,1.798408367370783
231,70.0,0.75,0.0,0.25,3.269394551696974
232,80.0,0.75,0.0,0.25,4.146732009561694
233,90.0,0.75,0.0,0.25,4.47055882651314
234,10.0,0.74,0.0,0.26,0.5703607460886972
235,20.0,0.74,0.0,0.26,0.3468478660049963
236,30.0,0.74,0.0,0.26,0.15591103071908038
237,40.0,0.74,0.0,0.26,0.14642032935776872
238,50.0,0.74,0.0,0.26,0.6665815762053505
239,60.0,0.74,0.0,0.26,1.7388126275304254
240,70.0,0.74,0.0,0.26,3.2063668467541158
241,80.0,0.74,0.0,0.26,4.080028335030279
242,90.0,0.74,0.0,0.26,4.400987528027646
243,10.0,0.73,0.0,0.27,0.6069312081571093
244,20.0,0.73,0.0,0.27,0.3825593993380234
245,30.0,0.73,0.0,0.27,0.19218896337470354
246,40.0,0.73,0.0,0.27,0.10354073035703766
247,50.0,0.73,0.0,0.27,0.6157475563785536
248,60.0,0.73,0.0,0.27,1.6820240608103296
249,70.0,0.73,0.0,0.27,3.1463079727983834
250,80.0,0.73,0.0,0.27,4.0164666428393705
251,90.0,0.73,0.0,0.27,4.334693287257395
252,10.0,0.72,0.0,0.28,0.6418187070819614
253,20.0,0.72,0.0,0.28,0.41662749720425896
254,30.0,0.72,0.0,0.28,0.22679739501415186
255,40.0,0.72,0.0,0.28,0.06263443933892422
256,50.0,0.72,0.0,0.28,0.5672529049096823
257,60.0,0.72,0.0,0.28,1.6278488891460365
258,70.0,0.72,0.0,0.28,3.089012992586113
259,80.0,0.72,0.0,0.28,3.9558300431752667
260,90.0,0.72,0.0,0.28,4.271449890188048
261,10.0,0.71,0.0,0.29,0.675136804122273
262,20.0,0.71,0.0,0.29,0.44916305365465836
263,30.0,0.71,0.0,0.29,0.25984897851283656
264,40.0,0.71,0.0,0.29,0.02356830345360781
265,50.0,0.71,0.0,0.29,0.520939768303186
266,60.0,0.71,0.0,0.29,1.5761107685496767
267,70.0,0.71,0.0,0.29,3.0342954069334214
268,80.0,0.71,0.0,0.29,3.8979211596480816
269,90.0,0.71,0.0,0.29,4.211051475121305
270,10.0,0.7,0.0,0.3,0.7069890682594768
271,20.0,0.7,0.0,0.3,0.48026720515104615
272,30.0,0.7,0.0,0.3,0.2914464543974965
273,40.0,0.7,0.0,0.3,0.013779114003614625
274,50.0,0.7,0.0,0.3,0.4766641826227054
275,60.0,0.7,0.0,0.3,1.5266488715749307
276,70.0,0.7,0.0,0.3,2.981985126755746
277,80.0,0.7,0.0,0.3,3.842559983054584
278,90.0,0.7,0.0,0.3,4.153310294169163
279,10.0,0.69,0.0,0.31,0.7374701515706265
280,20.0,0.69,0.0,0.31,0.5100323806813835
281,30.0,0.69,0.0,0.31,0.32168371761726916
282,40.0,0.69,0.0,0.31,0.049518794487857024
283,50.0,0.69,0.0,0.31,0.4342945786925037
284,60.0,0.69,0.0,0.31,1.4793162174213765
285,70.0,0.69,0.0,0.31,2.9319267070070834
286,80.0,0.69,0.0,0.31,3.789582002315837
