true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
0.0,0.0004995441270888421,0.0,0.008284836953692509,0.0,0.008299883594616128,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,80
0.0,0.0004995441270888469,0.0,0.008341514636383766,0.0,0.008356459224092077,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,75
0.0,0.0004995441270888469,0.0,0.008424015353337552,0.0,0.008438813838933511,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,70
0.0,0.0004995441270888469,0.0,0.008483665155282046,0.0,0.008498359771265023,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,66
0.0,0.0004995441270888469,0.0,0.008627239072860109,0.0,0.008641689554432808,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,60
0.0,0.0004995441270888469,0.0,0.008799699871692362,0.0,0.008813867605471024,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,55
0.0,0.0004995441270888469,0.0,0.008998130896138249,0.0,0.009011986682133228,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.05,100.0,50
0.0,0.0004995441270888421,0.0,0.0004839824655169955,0.0,0.0006955453700779432,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,90
0.0,0.0004995441270888421,0.0,0.0004842331706106732,0.0,0.0006957198419109653,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,85
0.0,0.0004995441270888469,0.0,0.0004854366278115886,0.0,0.0006965580051438967,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,80
0.0,0.0004995441270888469,0.0,0.00048750762254817196,0.0,0.0006980028774665108,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,75
0.0,0.0004995441270888454,0.0,0.0004906172236755548,0.0,0.0007001782594997262,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,70
0.0,0.0004995441270888469,0.0,0.000493861098483995,0.0,0.0007024550658261183,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,66
0.0,0.0004995441270888421,0.0,0.0004990053689090656,0.0,0.0007060812227421332,3184000.0,0.0005,0.0,63680.0,1.5811388300841898e-05,0.03162277660168379,254720.0,5e-06,0.01,60
