odt_length_scale,odt_amplitude_95_range,ice_length_scale,ice_thickness_95_range,net_ice_thickness_change,gmsl_slc_expectation,gmsl_slc_std,gmsl_ssh_expectation,gmsl_ssh_std,gmsl_ssh_odt_expectation,gmsl_ssh_odt_std,lmax
0.009995291163082719,0.1,0.49976455815413595,500,-200.0,9388.31190456124,0.0023154898288756573,-7393.664006573352,0.0011571256458815316,-7393.664006573352,0.0011609620755548698,128.0
0.009995291163082719,10.0,0.49976455815413595,500,-200.0,9388.31190456124,0.002314323783385352,-7393.664006573352,0.0011579816569773234,-7393.664006573352,0.009501196067731437,128.0
0.49976455815413595,0.01,0.49976455815413595,500,-200.0,9388.31190456124,0.002315489944296603,-7393.664006573352,0.0011571255610966353,-7393.664006573352,0.0011571639883561971,128.0
0.49976455815413595,0.1,0.49976455815413595,500,-200.0,9388.31190456124,0.0023154898288756573,-7393.664006573352,0.001157125645881539,-7393.664006573352,0.0011609620755548887,128.0
0.49976455815413595,10.0,0.49976455815413595,500,-200.0,9388.31190456124,0.0023143237833853428,-7393.664006573352,0.001157981656977322,-7393.664006573352,0.009501196067748774,128.0
0.009995291163082719,0.01,0.49976455815413595,500,200.0,-9388.311904561357,0.002315489944297402,7393.664006573206,0.0011571255610962868,7393.664006573206,0.0011571639883557695,128.0
0.009995291163082719,0.1,0.49976455815413595,500,200.0,-9388.31190456124,0.0023154898288756547,7393.664006573352,0.0011571256458815374,7393.664006573352,0.0011609620755548829,128.0
0.009995291163082719,10.0,0.49976455815413595,500,200.0,-9388.31190456124,0.002314323783385337,7393.664006573352,0.001157981656977322,7393.664006573352,0.009501196067731438,128.0
0.49976455815413595,0.01,0.49976455815413595,500,200.0,-9388.31190456124,0.0023154899442966058,7393.664006573352,0.0011571255610966587,7393.664006573352,0.0011571639883561752,128.0
0.49976455815413595,0.1,0.49976455815413595,500,200.0,-9388.31190456124,0.0023154898288756547,7393.664006573352,0.0011571256458815374,7393.664006573352,0.001160962075554902,128.0
0.49976455815413595,10.0,0.49976455815413595,500,200.0,-9388.31190456124,0.0023143237833853428,7393.664006573352,0.0011579816569773293,7393.664006573352,0.009501196067748772,128.0
