length_scale,satellite_range,error,true_mean,estimate,num_error
0.1,1.0,121.75626751908467,3.3082639479657063e-13,7.336282650688264e-13,4.028018702722558e-13
0.1,60.33,121.55489926107562,3.549925333464493e-13,-7.651828294716746e-14,-4.3151081629361676e-13
0.005,60.33,121.3311133236888,-2.8219263439897096e-13,-6.245800994326892e-13,-3.4238746503371825e-13
0.005,70.22,120.90924819405701,4.4999232881401405e-13,9.940746705139674e-13,5.440823416999534e-13
0.005,1.0,120.71008586970781,-3.0529192615151504e-13,-6.738100723622938e-13,-3.6851814621077873e-13
0.005,50.44,120.5133210301366,-2.215095027143373e-13,-4.884579608327257e-13,-2.6694845811838846e-13
0.1,30.67,119.72253935979307,1.3727054978247414e-13,-2.7073238210252802e-14,-1.6434378799272694e-13
0.005,50.44,119.36547450295912,6.354360173541516e-13,1.3939272346316403e-12,7.584912172774887e-13
0.005,70.22,119.17902301720686,-6.774587530284787e-13,1.2992997017541442e-13,8.073887232038931e-13
0.005,50.44,117.97010370426953,-2.8219263439897096e-13,-6.150955778452472e-13,-3.3290294344627624e-13
0.005,80.11,117.89411863379239,6.354360173541516e-13,1.3845777094955007e-12,7.491416921413491e-13
0.005,90.0,117.74914663862924,6.354360173541516e-13,1.383656505223157e-12,7.482204878690054e-13
0.1,70.22,116.88953078149974,3.549925333464493e-13,-5.995657319157432e-14,-4.1494910653802365e-13
0.1,20.78,116.78335875192495,1.3727054978247414e-13,-2.3038608830732383e-14,-1.603091586132065e-13
0.005,20.78,116.11260991364479,-1.903602254404166e-13,-4.113924514367823e-13,-2.2103222599636572e-13
0.005,50.44,116.03688929620276,-6.774587530284787e-13,1.0864331025061277e-13,7.861020632790915e-13
0.1,20.78,115.9509971776477,3.5179547738613923e-13,-5.6114886668955295e-14,-4.0791036405509454e-13
0.1,70.22,115.85817576519293,8.120869550688712e-14,1.7529560868387672e-13,9.40869131769896e-14
0.1,50.44,114.77332482389602,3.549925333464493e-13,-5.2444200051848315e-14,-4.074367333982976e-13
0.1,40.56,114.51278192526888,1.3727054978247414e-13,-1.992177553754813e-14,-1.5719232532002225e-13
0.005,70.22,114.49112481254157,6.354360173541516e-13,1.3629538610869366e-12,7.27517843732785e-13
0.1,10.89,113.47912402792858,3.5179547738613923e-13,-4.7418948721521077e-14,-3.992144261076603e-13
0.1,10.89,113.40291354227004,1.3727054978247414e-13,-1.8398253106343756e-14,-1.556688028888179e-13
0.1,90.0,113.27421833327882,1.8871737718690446e-13,4.0248551105443596e-13,2.137681338675315e-13
0.005,40.56,111.6191740557684,6.354360173541516e-13,1.3447044515777247e-12,7.092684342235731e-13
0.005,40.56,110.94362721236455,-2.261161248250455e-13,-4.769775554179888e-13,-2.5086143059294336e-13
0.1,1.0,110.51189905036746,1.3727054978247414e-13,-1.4429741619018086e-14,-1.5170029140149221e-13
0.005,60.33,110.29137624236493,4.4999232881401405e-13,9.462950612480582e-13,4.963027324340442e-13
0.005,90.0,110.22186583245839,4.4999232881401405e-13,9.459822697357516e-13,4.959899409217376e-13
0.1,10.89,109.98609566108152,-1.5558979174747718e-13,-3.2671692893773493e-13,-1.7112713719025775e-13
0.005,80.11,109.71844167792237,-6.774587530284787e-13,6.583843380505296e-14,7.432971868335316e-13
0.1,50.44,109.671591495946,-2.3258021369803867e-13,2.249420816927259e-14,2.5507442186731124e-13
0.005,80.11,109.5365952723657,4.4999232881401405e-13,9.428986047837137e-13,4.929062759696997e-13
0.005,50.44,109.29704452146805,-1.3592128628178833e-13,1.2636662499769918e-14,1.4855794878155824e-13
0.005,70.22,108.93356229920965,-2.586797527155791e-13,2.310931686428778e-14,2.8178906957986685e-13
0.1,50.44,108.83458135046396,1.3727054978247414e-13,-1.2127278390761824e-14,-1.4939782817323596e-13
0.005,90.0,108.54593909089455,-6.774587530284787e-13,5.789521239974752e-14,7.353539654282262e-13
0.1,70.22,108.43597366353134,-9.533610109938582e-14,-1.9871473057935345e-13,-1.0337862947996762e-13
0.1,1.0,108.37472884782882,3.5179547738613923e-13,-2.9461917330014144e-14,-3.8125739471615336e-13
0.1,90.0,107.96083842288144,-2.3258021369803867e-13,1.8515335016093242e-14,2.510955487141319e-13
0.1,80.11,107.93151462561865,3.3082639479657063e-13,6.878923334818381e-13,3.570659386852675e-13
0.1,60.33,107.83426751948694,-1.171263275662932e-13,9.175989837293989e-15,1.2630231740358718e-13
0.1,70.22,107.67102162724285,-3.809759972196965e-13,-7.9117674558072e-13,-4.1020074836102354e-13
0.1,30.67,107.59136672801375,-2.3245658379908953e-13,1.764663175960149e-14,2.50103215558691e-13
0.1,80.11,107.58581692112256,1.8871737718690446e-13,3.917505091055518e-13,2.0303313191864732e-13
0.1,80.11,107.33338593503701,-2.3258021369803867e-13,1.705600467901097e-14,2.4963621837704966e-13
0.1,60.33,107.15817542424449,-3.809759972196965e-13,-7.892229246446436e-13,-4.0824692742494716e-13
0.1,70.22,107.0375958113878,-1.171263275662932e-13,8.242877522837803e-15,1.25369205089131e-13
0.005,90.0,106.87576460291376,-6.61261964460597e-13,4.546681608491389e-14,7.067287805455109e-13
0.005,10.89,106.13737497502578,-1.903602254404166e-13,-3.9240357171941595e-13,-2.0204334627899936e-13
0.005,40.56,105.86700160690026,-6.774587530284787e-13,3.974651592626733e-14,7.17205268954746e-13
0.005,10.89,105.81759631001108,6.354360173541516e-13,1.3078391370063797e-12,6.724031196522281e-13
0.1,40.56,105.10577489185883,3.549925333464493e-13,-1.8125119635576588e-14,-3.731176529820259e-13
0.005,80.11,105.074800470205,-6.61261964460597e-13,3.3557725281733245e-14,6.948196897423302e-13
0.005,40.56,104.73411390516762,-2.215095027143373e-13,-4.535055175979417e-13,-2.319960148836044e-13
0.005,30.67,103.8857776472409,6.354360173541516e-13,1.2955636654331686e-12,6.60127648079017e-13
0.005,20.78,103.42602589309911,6.354360173541516e-13,1.2926422371969341e-12,6.572062198427826e-13
0.005,40.56,103.25589978127093,-2.8219263439897096e-13,-5.735731781641007e-13,-2.9138054376512975e-13
0.1,70.22,103.20065686234359,1.8871737718690446e-13,3.8347495005717645e-13,1.9475757287027198e-13
0.005,60.33,103.01429729792869,-1.3592128628178833e-13,4.097071659701861e-15,1.400183579414902e-13
0.1,70.22,102.72577161867692,3.029961672885359e-13,-8.258983533629746e-15,-3.112551508221657e-13
0.005,1.0,102.54299071923754,6.354360173541516e-13,1.287031113656312e-12,6.515950963021603e-13
0.005,70.22,102.38706345719517,-6.61261964460597e-13,1.5784742709969894e-14,6.770467071705668e-13
0.1,20.78,101.63061339410899,-1.5558979174747718e-13,-3.13716651479055e-13,-1.5812685973157783e-13
0.005,70.22,101.56255009729296,-1.903602254404166e-13,-3.836949247686595e-13,-1.9333469932824292e-13
0.1,90.0,101.1854832535644,3.3082639479657063e-13,6.655746811018255e-13,3.347482863052548e-13
0.005,60.33,100.9787067100655,-2.586797527155791e-13,2.531716097408209e-15,2.612114688129873e-13
0.1,60.33,100.62268355852387,1.3727054978247414e-13,-8.547611441908015e-16,-1.3812531092666495e-13
0.005,40.56,100.38532827443132,-1.3592128628178833e-13,5.237431470144646e-16,1.364450294288028e-13
0.005,1.0,100.16780489585389,-1.903602254404166e-13,-3.810398846588807e-13,-1.9067965921846413e-13
0.1,1.0,99.65223758486086,-1.5558979174747718e-13,-3.1063850067746336e-13,-1.550487089299862e-13
